video_id,gt_VCL,pred_VCL,VCL_error,gt_VSL,pred_VSL,VSL_error,gt_VAP,pred_VAP,VAP_error
CD260301 (1),0.5086,0.5095019086593435,0.0009019086593434755,0.4841,0.11585208764377017,0.3682479123562298,0.2434,0.4117626345024995,0.1683626345024995
CD260301 (1),2.2893,2.30796898884469,0.018668988844690038,1.2219,2.2855399467277557,1.0636399467277557,0.6849,2.19818745600638,1.5132874560063803
CD260301 (1),1.7708,1.5733843954353222,0.19741560456467777,1.7708,1.499220808181379,0.271579191818621,1.7708,1.3797546967380456,0.3910453032619543
CD260301 (1),0.6828,0.6829169557007253,0.00011695570072534078,0.4087,0.6827492855022139,0.2740492855022139,0.2228,0.34138207669577586,0.11858207669577586
CD260301 (1),1.1725,1.1680563061227376,0.004443693877262511,1.1721,1.1482056171579627,0.023894382842037265,0.5861,0.7879901246102475,0.20189012461024758
CD260301 (1),2.6076,2.8702384190082766,0.26263841900827645,2.5145,2.86722124145701,0.3527212414570102,1.2625,1.5403648386484552,0.27786483864845524
CD260301 (1),1.4258,1.4098500215111063,0.01594997848889368,1.3765,1.4098464919399065,0.033346491939906464,0.6906,0.7049232713340152,0.01432327133401523
CD260301 (1),3.0373,2.90145746242064,0.13584253757935993,3.0373,2.901454755856052,0.13584524414394794,3.0373,1.4507274064752425,1.5865725935247577
CD260301 (1),1.5529,1.3769320390918989,0.17596796090810107,1.0097,1.3769320390918989,0.36723203909189883,0.5395,1.3769320390918989,0.8374320390918989
CD260301 (1),1.3061,1.2916678334074783,0.014432166592521778,1.3061,1.2916678334074783,0.014432166592521778,1.3061,1.2916678334074783,0.014432166592521778
CD260301 (1),1.7217,1.6558929092088521,0.06580709079114788,1.6801,1.4965736596512904,0.18352634034870952,0.8424,1.5443507454866006,0.7019507454866005
CD260301 (1),1.7344,1.6901476441808163,0.04425235581918363,0.0901,1.6804156564818666,1.5903156564818666,0.2898,0.8601299217813219,0.5703299217813218
CD260301 (1),1.789,1.5682437476510582,0.2207562523489417,1.5758,1.5676757256360314,0.008124274363968675,0.7884,1.0398801399325968,0.25148013993259677
CD260301 (1),1.8113,1.8062555695326878,0.005044430467312067,1.8107,1.7986648284616253,0.012035171538374634,0.9054,0.9329685104020699,0.027568510402069868
CD260301 (1),2.2798,2.193658503320245,0.08614149667975468,2.2798,2.191076794322953,0.08872320567704683,2.2798,2.0944352343786123,0.18536476562138748
CD260301 (1),2.8186,2.8825726119213253,0.0639726119213253,2.8186,2.8756792675818352,0.057079267581835236,2.8186,1.4381651635498722,1.3804348364501278
CD260301 (1),2.0325,1.8587513203688408,0.17374867963115936,2.0325,1.8493038931127002,0.18319610688730004,2.0325,1.0439746212680832,0.988525378731917
CD260301 (1),1.3588,1.344897944921133,0.013902055078867104,1.3588,1.344897944921133,0.013902055078867104,1.3588,1.344897944921133,0.013902055078867104
CD260301 (1),0.7354,0.736312562008413,0.0009125620084129427,0.7354,0.12526228484036833,0.6101377151596317,0.7354,0.15602725804209358,0.5793727419579064
CD260301 (1),0.7906,0.7904382893280093,0.0001617106719906669,0.7906,0.7904340580927064,0.00016594190729357639,0.7906,0.39521720399942595,0.395382796000574
CD260301 (1),1.1194,1.1196410648580484,0.00024106485804842315,1.1194,1.1174593197792282,0.0019406802207717622,1.1194,1.0515654137998331,0.0678345862001668
CD260301 (1),0.9155,0.9171991824449974,0.001699182444997449,0.9155,0.9171991824449974,0.001699182444997449,0.9155,0.9171991824449974,0.001699182444997449
CD260301 (1),1.5443,1.3837077326652998,0.16059226733470022,1.5443,1.381291023635247,0.1630089763647531,1.5443,0.7524676898123752,0.7918323101876248
CD260301 (1),2.0555,1.8577249551311987,0.19777504486880115,2.0555,1.8545584531977308,0.20094154680226906,2.0555,1.8222928454111469,0.233207154588853
