video_id,track_id,num_frames,VCL,VSL,VAP
TA280380 (3)_SESSIOE 011225,38,12,0.4144,0.322,0.2842
TA280380 (3)_SESSIOE 011225,39,12,0.4635,0.2927,0.2823
TA280380 (3)_SESSIOE 011225,40,10,0.5808,0.2767,0.2491
TA280380 (3)_SESSIOE 011225,41,6,0.4723,0.3856,0.3538
TA280380 (3)_SESSIOE 011225,43,9,0.2282,0.1636,0.1622
TA280380 (3)_SESSIOE 011225,46,4,0.4578,0.4454,0.2712
TA280380 (3)_SESSIOE 011225,50,2,0.1352,0.1352,0.1352
TA280380 (3)_SESSIOE 011225,51,2,0.1803,0.1803,0.1803
TA280380 (4)_SESSIOE 011225,0,30,0.2899,0.2442,0.2445
TA280380 (4)_SESSIOE 011225,1,30,0.554,0.2004,0.2998
TA280380 (4)_SESSIOE 011225,2,7,0.799,0.7711,0.6683
TA280380 (4)_SESSIOE 011225,3,30,0.4179,0.1907,0.222
TA280380 (4)_SESSIOE 011225,4,2,0.7974,0.7974,0.7974
TA280380 (4)_SESSIOE 011225,5,30,0.4804,0.2821,0.3018
TA280380 (4)_SESSIOE 011225,7,26,0.5231,0.277,0.3087
TA280380 (4)_SESSIOE 011225,8,11,0.2752,0.2439,0.2233
TA280380 (4)_SESSIOE 011225,9,20,0.4032,0.2294,0.2494
TA280380 (4)_SESSIOE 011225,10,30,0.5618,0.288,0.3138
TA280380 (4)_SESSIOE 011225,11,30,0.3392,0.1148,0.1692
TA280380 (4)_SESSIOE 011225,12,5,0.9929,0.1985,0.3547
TA280380 (4)_SESSIOE 011225,14,13,0.2359,0.2035,0.1849
TA280380 (4)_SESSIOE 011225,15,29,0.2789,0.1424,0.1693
TA280380 (4)_SESSIOE 011225,16,29,0.2965,0.2618,0.2543
TA280380 (4)_SESSIOE 011225,17,8,0.1981,0.1777,0.177
TA280380 (4)_SESSIOE 011225,18,10,0.2476,0.2333,0.1939
TA280380 (4)_SESSIOE 011225,19,27,0.5373,0.2452,0.3016
TA280380 (4)_SESSIOE 011225,20,9,0.2441,0.225,0.1865
TA280380 (4)_SESSIOE 011225,21,3,0.1841,0.0676,0.044
TA280380 (4)_SESSIOE 011225,22,21,0.6252,0.1441,0.3091
TA280380 (4)_SESSIOE 011225,24,2,0.1231,0.1231,0.1231
TA280380 (4)_SESSIOE 011225,25,3,0.3093,0.3092,0.1546
TA280380 (4)_SESSIOE 011225,26,20,0.3642,0.1277,0.1715
TA280380 (4)_SESSIOE 011225,27,4,2.1209,2.0787,1.3672
TA280380 (4)_SESSIOE 011225,30,17,0.3041,0.2121,0.2253
TA280380 (4)_SESSIOE 011225,33,3,0.5631,0.5107,0.2565
TA280380 (4)_SESSIOE 011225,34,15,0.2751,0.2065,0.1991
